Post_ID,Post_Text,User_Name,Followers,Following,Follower_Following_Ratio,Posts,Posts_Followers_Ratio,Bio,Profile_Picture,External_Link,Mutual_Friends,Threads,clean_text,Predicted_Sentiment,Confidence
1,The only tragedy is your name,call_me_c.l.e.v.e.l.a.n.d,81,127,0.638,0,0.0,yes,yes,no,no,no,the only tragedy is your name,negative,0.8463708758354187
2,And she has a brother called bloody,Tom Peluso,80,1010,0.079,4,0.05,no,yes,no,no,no,and she has a brother called bloody,neutral,0.6842153072357178
3,May be she is what her names says she is,Pweddy Vee,10,930,0.011,0,0.0,no,yes,no,no,no,may be she is what her names says she is,neutral,0.8272227644920349
4,Sounds like nonsense to me,Tlholeho Nkhahle,181,146,1.24,12,0.066,yes,yes,no,no,no,sounds like nonsense to me,negative,0.9264739155769348
5,I have a coworker whos named secret,gabriel_thejoker1,18,244,0.074,412,22.889,yes,yes,no,no,no,i have a coworker whos named secret,neutral,0.8949536085128784
6,"If your hair is so beautiful, why do you wear wigs?",denn_col,337,1808,0.186,6,0.018,yes,yes,no,no,no,"if your hair is so beautiful, why do you wear wigs?",positive,0.5094302296638489
7,She bleached her hair after this,pablo818valle,44,426,0.103,72,1.636,no,yes,no,no,no,she bleached her hair after this,neutral,0.8669973611831665
8,What a nightmare,luigim_m,90,203,0.443,41,0.456,no,yes,no,no,no,what a nightmare,negative,0.8784428238868713
9,Take a loan from bank and divorce her,reyhi_jogobella,840,65,12.923,7,0.008,yes,yes,no,no,yes,take a loan from bank and divorce her,neutral,0.628498375415802
10,She is such an aweful person,jman33317,102,305,0.334,5,0.049,no,yes,no,no,no,she is such an aweful person,negative,0.9519009590148926
11,Rude,grumps_437,18,43,0.419,2,0.111,no,yes,no,no,no,rude,negative,0.6433741450309753
12,She has misophonia,mom4life59,23,1039,0.022,41,1.783,no,yes,no,no,no,she has misophonia,negative,0.9245479106903076
13,"Said hi to a stranger, I then got shot 469 times",byron.mcb,184,472,0.39,27,0.147,yes,yes,no,no,yes,"said hi to a stranger, i then got shot 469 times",negative,0.7840750217437744
14,Her biggest mistake is coming to this interview,pes.holic7,1030,746,1.381,0,0.0,yes,yes,no,no,yes,her biggest mistake is coming to this interview,negative,0.8622210621833801
15,The biggest beefsteak,ibx.michael,27,195,0.138,0,0.0,yes,yes,no,no,no,the biggest beefsteak,neutral,0.4667535722255707
16,What is he gonna do about it?,c.stodden15,59,368,0.16,0,0.0,yes,yes,no,no,no,what is he gonna do about it?,neutral,0.7538065314292908
17,Who would even want to touch him?,the_dutchrevert,136k,1444,94.185,558,0.004,yes,yes,yes,no,no,who would even want to touch him?,negative,0.807728111743927
18,He was a kid why she trying to put him down,hannaaevans,238,213,1.117,377,1.584,yes,yes,no,no,yes,he was a kid why she trying to put him down,negative,0.7629081010818481
19,Manipulative tears,danny_welch_,477,754,0.633,15,0.031,no,yes,no,no,yes,manipulative tears,negative,0.5012164115905762
20,They will never stop interrupting you,mushroom_1960,15,490,0.031,0,0.0,no,no,no,no,yes,they will never stop interrupting you,negative,0.7899202704429626
21,She got possessed,oaltrue,336,4833,0.07,39,0.116,yes,yes,yes,no,yes,she got possessed,negative,0.6827982664108276
22,"He really thought they were gonna let him talk, didn’t he?",gizzmo1812,46,651,0.071,13,0.283,no,yes,no,no,no,"he really thought they were gonna let him talk, didn t he?",neutral,0.5828968286514282
23,He was tired of her questions,stinje,193k,2360,81.78,1477,0.008,yes,yes,yes,no,yes,he was tired of her questions,negative,0.6791123747825623
24,But really he's looking like drawing,callmesheeboo,94,1296,0.073,6,0.064,yes,yes,no,no,yes,but really he's looking like drawing,neutral,0.6500042676925659
25,Another day felt shameful for someone else,alyr.1402,518,7482,0.069,173,0.334,yes,yes,no,no,yes,another day felt shameful for someone else,negative,0.9423993825912476
26,And it was this day a villain was created,bobsta.extra,2500,216,11.574,9,0.004,yes,yes,yes,no,no,and it was this day a villain was created,neutral,0.5150360465049744
27,For the benefit of Tesla shareholders I'd like to say NO,apo180mg,49,2956,0.017,0,0.0,no,yes,no,no,yes,for the benefit of tesla shareholders i'd like to say no,neutral,0.6175628304481506
28,Weird lol,jeffhathawayfitness,3011,250,12.044,470,0.156,yes,yes,yes,no,yes,weird lol,neutral,0.5084105134010315
29,Terrible song choice,xnationsgoldenchild,508,6490,0.078,3267,6.431,no,yes,no,no,yes,terrible song choice,negative,0.963320255279541
30,All of them is also probably the dumbest answer in philosophy,1haluka,167,1304,0.128,21,0.126,yes,yes,yes,no,no,all of them is also probably the dumbest answer in philosophy,negative,0.7863112092018127
31,Its so sick,crysalexart,141k,702,200.855,1857,0.013,yes,yes,yes,no,yes,its so sick,negative,0.8687520623207092
32,Mental health update,shehrozecheemabluetick,685,333,2.057,0,0.0,yes,yes,yes,no,yes,mental health update,neutral,0.8852701783180237
33,She answered as a dishwasher,_akash_9073,50,5,10.0,2,0.04,yes,yes,no,no,yes,she answered as a dishwasher,neutral,0.7936745285987854
34,He never walked on the moon,mascha.willemsen,3211,838,3.832,177,0.055,yes,yes,yes,no,no,he never walked on the moon,neutral,0.6381983757019043
35,That’s horrible,lucillehost,597,729,0.819,351,0.588,yes,yes,yes,no,no,that s horrible,negative,0.9483148455619812
