Post_ID,Post_Text,User_Name,Followers,Following,Follower_Following_Ratio,Posts,Posts_Followers_Ratio,Bio,Profile_Picture,External_Link,Mutual_Friends,Threads,clean_text,Predicted_Sentiment,Confidence
1,The only tragedy is your name,call_me_c.l.e.v.e.l.a.n.d,81,127,0.638,0,0.0,yes,yes,no,no,no,the only tragedy is your name,negative,0.8463708758354187
4,Sounds like nonsense to me,Tlholeho Nkhahle,181,146,1.24,12,0.066,yes,yes,no,no,no,sounds like nonsense to me,negative,0.9264739155769348
8,What a nightmare,luigim_m,90,203,0.443,41,0.456,no,yes,no,no,no,what a nightmare,negative,0.8784428238868713
10,She is such an aweful person,jman33317,102,305,0.334,5,0.049,no,yes,no,no,no,she is such an aweful person,negative,0.9519009590148926
11,Rude,grumps_437,18,43,0.419,2,0.111,no,yes,no,no,no,rude,negative,0.6433741450309753
12,She has misophonia,mom4life59,23,1039,0.022,41,1.783,no,yes,no,no,no,she has misophonia,negative,0.9245479106903076
13,"Said hi to a stranger, I then got shot 469 times",byron.mcb,184,472,0.39,27,0.147,yes,yes,no,no,yes,"said hi to a stranger, i then got shot 469 times",negative,0.7840750217437744
14,Her biggest mistake is coming to this interview,pes.holic7,1030,746,1.381,0,0.0,yes,yes,no,no,yes,her biggest mistake is coming to this interview,negative,0.8622210621833801
17,Who would even want to touch him?,the_dutchrevert,136k,1444,94.185,558,0.004,yes,yes,yes,no,no,who would even want to touch him?,negative,0.807728111743927
18,He was a kid why she trying to put him down,hannaaevans,238,213,1.117,377,1.584,yes,yes,no,no,yes,he was a kid why she trying to put him down,negative,0.7629081010818481
19,Manipulative tears,danny_welch_,477,754,0.633,15,0.031,no,yes,no,no,yes,manipulative tears,negative,0.5012164115905762
20,They will never stop interrupting you,mushroom_1960,15,490,0.031,0,0.0,no,no,no,no,yes,they will never stop interrupting you,negative,0.7899202704429626
21,She got possessed,oaltrue,336,4833,0.07,39,0.116,yes,yes,yes,no,yes,she got possessed,negative,0.6827982664108276
23,He was tired of her questions,stinje,193k,2360,81.78,1477,0.008,yes,yes,yes,no,yes,he was tired of her questions,negative,0.6791123747825623
25,Another day felt shameful for someone else,alyr.1402,518,7482,0.069,173,0.334,yes,yes,no,no,yes,another day felt shameful for someone else,negative,0.9423993825912476
29,Terrible song choice,xnationsgoldenchild,508,6490,0.078,3267,6.431,no,yes,no,no,yes,terrible song choice,negative,0.963320255279541
30,All of them is also probably the dumbest answer in philosophy,1haluka,167,1304,0.128,21,0.126,yes,yes,yes,no,no,all of them is also probably the dumbest answer in philosophy,negative,0.7863112092018127
31,Its so sick,crysalexart,141k,702,200.855,1857,0.013,yes,yes,yes,no,yes,its so sick,negative,0.8687520623207092
35,That’s horrible,lucillehost,597,729,0.819,351,0.588,yes,yes,yes,no,no,that s horrible,negative,0.9483148455619812
38,It took me a while to figure out what song he was even singing,dasteamworks,284,818,0.347,268,0.944,yes,yes,yes,no,yes,it took me a while to figure out what song he was even singing,negative,0.5522955060005188
44,Stop the madness,iamembraca,11.6k,165,70.303,12,0.001,yes,yes,yes,no,no,stop the madness,negative,0.8069908618927002
45,Overacting,m.mohsin.1,114,2092,0.054,17,0.149,yes,yes,no,no,yes,overacting,negative,0.8300204873085022
46,Spent all that money and still looks basic,caterita79,207,2136,0.097,69,0.333,yes,yes,no,no,no,spent all that money and still looks basic,negative,0.9191779494285583
47,Why does she sound like shes about to cry,joannemsachse,110,185,0.595,256,2.327,yes,yes,yes,no,no,why does she sound like shes about to cry,negative,0.8809774518013
51,Now you’ve ruined your career lol,ghostface319_,5,41,0.122,0,0.0,no,yes,no,no,yes,now you ve ruined your career lol,negative,0.8236426115036011
53,"Why are you so quiet on Sudan, Congo and Nigeria? Why do you support terrorism?",spooney100,169,576,0.293,395,2.337,no,no,no,no,no,"why are you so quiet on sudan, congo and nigeria? why do you support terrorism?",negative,0.9005153179168701
54,"No longer a fan, bye bye!!!",jilliannfinn,661,1178,0.561,32,0.048,yes,yes,no,no,yes,"no longer a fan, bye bye!!!",negative,0.8709590435028076
55,"magine saying you love abortions, what a sick comment",dani_yarll,777,795,0.977,1244,1.601,yes,yes,no,no,no,"magine saying you love abortions, what a sick comment",negative,0.932055652141571
56,Nobody likes your music zara,sacha_martel01,34,138,0.246,8,0.235,yes,yes,no,no,yes,nobody likes your music zara,negative,0.9619020223617554
57,I’m gonna take a piss on your records today,klazthebeatmaker,7437,966,7.699,1316,0.177,yes,yes,yes,no,no,i m gonna take a piss on your records today,negative,0.901629626750946
59,i can’t believe people are still supporting her,quackhead._,705,1635,0.431,6,0.009,yes,yes,no,no,yes,i can t believe people are still supporting her,negative,0.9030673503875732
60,What the actual fuck?,kz_rayan_,1243,539,2.306,1,0.001,yes,yes,no,no,no,what the actual fuck?,negative,0.9571681022644043
61,The fuck,mia.ranieri,924,1230,0.751,8,0.009,no,yes,yes,no,yes,the fuck,negative,0.9100518822669983
62,Racist,_.loonietuunes._,426,612,0.696,29,0.068,yes,yes,no,no,no,racist,negative,0.7339133024215698
63,I'm surprised you still have a career,_aries_907_,215,882,0.244,2928,13.619,yes,yes,no,no,yes,i'm surprised you still have a career,negative,0.5514691472053528
64,Why am I still on the autistic side of instagram?..,rashanasar331,54,12,4.5,0,0.0,no,no,no,no,no,why am i still on the autistic side of instagram?..,negative,0.7450928092002869
65,You are ill in the head,feefeecameron,483,1591,0.304,636,1.316,yes,yes,yes,no,yes,you are ill in the head,negative,0.9474579691886902
66,this is incredibly offensive,amchvw,1574,1007,1.563,128,0.081,yes,yes,yes,no,no,this is incredibly offensive,negative,0.9693482518196106
67,"Shame bro, shame on you",themythbehindbar,1130,341,3.314,2,0.002,yes,yes,no,no,no,"shame bro, shame on you",negative,0.9310598373413086
68,childish and racist and perv,inok_52_,86,370,0.232,40,0.465,yes,yes,no,no,yes,childish and racist and perv,negative,0.9489073157310486
69,More racist antics.,scarredexcess,129,702,0.184,133,1.031,yes,yes,no,no,yes,more racist antics.,negative,0.8998772501945496
70,You are so racist idiot!!!,anonymous_kingss,38,156,0.244,1,0.026,no,yes,no,no,no,you are so racist idiot!!!,negative,0.9750256538391113
71,STUPID,hunter_is_littt_,61,437,,27,,yes,yes,no,no,no,stupid,negative,0.8772448301315308
72,Ye it won't be the same cuz you disgraced the country,__takuu_,205,333,,5,,yes,yes,yes,no,no,ye it won't be the same cuz you disgraced the country,negative,0.9624325037002563
73,"We, Japanese people don’t like you...we don’t appreciate that you are going back there..",mimimama0817,105,1029,,1907,,yes,yes,no,no,no,"we, japanese people don t like you...we don t appreciate that you are going back there..",negative,0.954316258430481
74,*cough cough* racist,spicy._.trash,95,840,,0,,yes,yes,no,no,no,cough cough racist,negative,0.9433668851852417
75,Yea. Bc u ruined it,ivyjosephinee,157,315,,77,,yes,yes,no,no,no,yea. bc u ruined it,negative,0.8861382007598877
76,shut up,wifey.is.myself.lol,50,75,,52,,yes,yes,no,no,no,shut up,negative,0.6838659644126892
77,Youre such an idiot,belnobelle,1434,330,,41,,yes,yes,no,no,no,youre such an idiot,negative,0.9745618104934692
78,That’s quite racist,nawafxxmax1230,11,36,,5,,no,yes,no,no,no,that s quite racist,negative,0.8981181979179382
79,Now everyone hates you including me,molli_harrell74,831,269,,38,,yes,yes,no,no,no,now everyone hates you including me,negative,0.9567806720733643
80,Just showing how obnoxious and stupid you’re being such a role model to rest of the Americans. Smh,wildheartdori,381,1175,,408,,yes,yes,yes,no,yes,just showing how obnoxious and stupid you re being such a role model to rest of the americans. smh,negative,0.956089973449707
116,Obsessed with you,melissaarrose,5370,753,,42,,yes,yes,yes,no,no,obsessed with you,negative,0.6400861740112305
137,Lucky you,annhernandez5701,170,4539,,34,,no,yes,no,no,no,lucky you,negative,0.6674965023994446
141,Cuteness overload,derycksally,59,184,,113,,yes,yes,no,no,yes,cuteness overload,negative,0.7386531829833984
