Post_ID,Post_Text,User_Name,Followers,Following,Posts,Predicted_Label,Confidence,Prob_Bot,Prob_Real,Prob_Scam,Prob_Spam
1,The only tragedy is your name,call_me_c.l.e.v.e.l.a.n.d,81,127,0,Scam,0.46792200207710266,0.25597948,0.24738687,0.467922,0.02871167
4,Sounds like nonsense to me,Tlholeho Nkhahle,181,146,12,Real,0.8101881742477417,0.022758482,0.8101882,0.056583527,0.110469826
8,What a nightmare,luigim_m,90,203,41,Spam,0.6213921308517456,0.02161673,0.29607213,0.060919024,0.62139213
10,She is such an aweful person,jman33317,102,305,5,Scam,0.43082189559936523,0.1512189,0.30276218,0.4308219,0.11519701
11,Rude,grumps_437,18,43,2,Bot,0.5931469798088074,0.593147,0.06120009,0.320551,0.025101917
12,She has misophonia,mom4life59,23,1039,41,Spam,0.5855866074562073,0.27916673,0.10227019,0.032976482,0.5855866
13,"Said hi to a stranger, I then got shot 469 times",byron.mcb,184,472,27,Real,0.7978602051734924,0.017304093,0.7978602,0.019640597,0.16519508
14,Her biggest mistake is coming to this interview,pes.holic7,1030,746,0,Spam,0.676695704460144,0.08173033,0.1880444,0.053529542,0.6766957
17,Who would even want to touch him?,the_dutchrevert,136000,1444,558,Spam,0.9992501139640808,0.00015884796,0.00057466055,1.6320259e-05,0.9992501
18,He was a kid why she trying to put him down,hannaaevans,238,213,377,Real,0.7781275510787964,0.0016932263,0.77812755,0.005031252,0.21514797
19,Manipulative tears,danny_welch_,477,754,15,Spam,0.8396410942077637,0.01406236,0.1350864,0.011210176,0.8396411
20,They will never stop interrupting you,mushroom_1960,15,490,0,Bot,0.9967415928840637,0.9967416,0.00090855703,0.0017782586,0.0005716552
21,She got possessed,oaltrue,336,4833,39,Real,0.9238026142120361,0.043914624,0.9238026,0.0024189828,0.029863792
23,He was tired of her questions,stinje,193000,2360,1477,Real,0.5766267776489258,0.00045175236,0.5766268,9.150629e-05,0.42282993
25,Another day felt shameful for someone else,alyr.1402,518,7482,173,Real,0.9537565112113953,0.02806021,0.9537565,0.0023704486,0.015812797
29,Terrible song choice,xnationsgoldenchild,508,6490,3267,Real,0.9998119473457336,0.00013746666,0.99981195,9.382742e-06,4.1251955e-05
30,All of them is also probably the dumbest answer in philosophy,1haluka,167,1304,21,Real,0.7993361353874207,0.14257847,0.79933614,0.00798525,0.05010019
31,Its so sick,crysalexart,141000,702,1857,Spam,0.7151358723640442,0.00018747165,0.28456485,0.00011185245,0.7151359
35,That’s horrible,lucillehost,597,729,351,Spam,0.7189227342605591,0.0022448224,0.27524236,0.003590103,0.71892273
38,It took me a while to figure out what song he was even singing,dasteamworks,284,818,268,Spam,0.5845606923103333,0.002611546,0.41116402,0.0016637217,0.5845607
44,Stop the madness,iamembraca,11600,165,12,Spam,0.7994208931922913,0.0019462894,0.19419087,0.004441974,0.7994209
45,Overacting,m.mohsin.1,114,2092,17,Real,0.8566656708717346,0.10415198,0.8566657,0.0065510985,0.032631237
46,Spent all that money and still looks basic,caterita79,207,2136,69,Real,0.8135802745819092,0.10562372,0.8135803,0.013626471,0.067169525
47,Why does she sound like shes about to cry,joannemsachse,110,185,256,Real,0.9586244225502014,0.0007359202,0.9586244,0.0021637613,0.03847593
51,Now you’ve ruined your career lol,ghostface319_,5,41,0,Scam,0.999693751335144,0.00014181611,0.00013135262,0.99969375,3.3103155e-05
53,"Why are you so quiet on Sudan, Congo and Nigeria? Why do you support terrorism?",spooney100,169,576,395,Real,0.9620831608772278,0.0016791569,0.96208316,0.0018358149,0.034401845
54,"No longer a fan, bye bye!!!",jilliannfinn,661,1178,32,Real,0.9629530906677246,0.008919072,0.9629531,0.0029131025,0.025214752
55,"magine saying you love abortions, what a sick comment",dani_yarll,777,795,1244,Real,0.9984188079833984,0.0001294024,0.9984188,8.502934e-05,0.0013667403
56,Nobody likes your music zara,sacha_martel01,34,138,8,Real,0.7871221303939819,0.042323142,0.78712213,0.079306,0.0912487
